title;category_slug;verdict;explanation;alternatives;keywords;dtu_refs
"Parquet massif sur plancher chauffant hydraulique ?";"sols";"conditional";"Possible si essence stable (chêne, châtaignier, merbau), épaisseur ≤14 mm, lames ≤120 mm, pose collée pleine SP. Montée en température progressive (+2°C/jour, max 28°C en surface).";"Parquet contrecollé 14 mm spécial PCBT, stratifié labellisé compatible PC, vinyle LVT collé.";"parquet, massif, plancher chauffant, hydraulique, pose collée, PCBT";"DTU 51.2"
"Parquet flottant sur plancher chauffant ?";"sols";"discouraged";"La sous-couche fait barrière thermique : perte de rendement 30-50 % et inertie cassée. Toléré uniquement si sous-couche ≤2 mm spéciale PC (R thermique <0,15 m².K/W).";"Privilégier la pose collée pleine, ou changer pour un revêtement collé (vinyle, carrelage, contrecollé collé).";"parquet flottant, plancher chauffant, sous-couche thermique";"DTU 51.11"
"Carrelage sur ancien carrelage ?";"sols";"conditional";"Faisable si support sain, plan (≤3 mm/2 m), désolidarisé des murs, dégraissé à la lessive de soude, primaire d'accrochage appliqué. Mortier-colle classe C2 minimum.";"Décaper et reposer sur chape sèche si support douteux, ragréage autonivelant fibré sinon.";"carrelage sur carrelage, primaire accrochage, ragréage, double encollage";"DTU 52.2"
"Stratifié sur moquette existante ?";"sols";"forbidden";"Moquette = support souple non admis : lames qui bougent, joints qui s'ouvrent, garantie nulle. Risque de moisissures sous le stratifié (humidité piégée).";"Décaper la moquette, ragréer si nécessaire, poser une sous-couche acoustique 2-3 mm puis le stratifié.";"stratifié, moquette, support souple";"DTU 51.11"
"Vinyle LVT collé sur plancher chauffant ?";"sols";"compatible";"Excellent revêtement pour PC : conductivité thermique élevée, faible inertie, R <0,05 m².K/W. Colle fibrée spéciale PC obligatoire.";"";"vinyle, LVT, plancher chauffant, pose collée";"DTU 53.2"
"Béton ciré sur carrelage existant ?";"sols";"conditional";"Possible avec primaire d'accrochage SPEC + treillis fibré + 2 couches de béton ciré. Joints du carrelage doivent être pleins (re-jointoyer si besoin) sinon ils ressortent à terme.";"Décaisser et couler une chape neuve si carrelage très joints, ou poser un sol résine sur le carrelage.";"béton ciré, carrelage, primaire, treillis";""
"Parquet massif au sous-sol ?";"sols";"discouraged";"Risque d'humidité ascensionnelle même avec dalle béton récente. Le bois gonfle/rétracte → tuilage, déformations.";"Parquet contrecollé sur sous-couche pare-vapeur, vinyle LVT, carrelage. Test d'humidité du support obligatoire avant tout collage.";"parquet, sous-sol, humidité, ascensionnelle";""
"Carrelage sans chape sur plancher bois ?";"sols";"discouraged";"Pose directe interdite : le bois travaille → fissuration des joints et carreaux. Une désolidarisation (natte SPEC ou panneau) + serrage parfait des solives sont indispensables.";"Natte de désolidarisation type Schlüter Ditra, ou ragréage fibré sur primaire bois + treillis.";"carrelage, plancher bois, désolidarisation, natte";"DTU 52.2"
"Sol PVC dans une cuisine ?";"sols";"compatible";"Sol PVC en lés ou LVT collé est l'un des meilleurs choix cuisine : étanche, antitaches, garantie 15-25 ans selon classement U4P3.";"";"sol PVC, lino, cuisine, U4P3";"NF EN 685"
"Moquette dans une salle de bain ?";"sols";"forbidden";"Hygrométrie permanente >70 % = moisissures, odeurs, dégradation rapide. Bactériologiquement à risque.";"Carrelage, vinyle 100 % étanche, sol résine époxy.";"moquette, salle de bain, humidité";""
