title;category_slug;verdict;explanation;alternatives;keywords;dtu_refs
"Béton ciré sur ancien plancher bois ?";"sols";"discouraged";"Le bois travaille avec l'hygrométrie : microfissures inévitables dans le béton ciré, même avec primaire et treillis. Toléré uniquement si plancher massif récent, parfaitement vissé, sans jeu, avec désolidarisation type natte SPEC.";"Décaisser et couler une chape sèche fibrée puis béton ciré, ou poser un sol résine époxy plus tolérant.";"béton ciré, plancher bois, fissuration, treillis, hygrométrie";""
"Vinyle clipsable dans une salle de bain ?";"sols";"discouraged";"Les joints clic ne sont pas étanches : eau qui s'infiltre par les flancs, gonflement des lames, moisissures sous le revêtement. Vinyle SDB doit être collé pleine surface ou en lés soudés.";"Vinyle LVT collé pleine surface avec remontée en plinthe, lés PVC soudés à chaud, carrelage classique.";"vinyle clipsable, salle de bain, étanchéité, gonflement, LVT";"DTU 53.2"
"Carrelage XXL (60×60 cm et plus) en rénovation sur ancienne chape ?";"sols";"conditional";"Tolérance de planéité ≤2 mm sous la règle de 2 m. Au-delà, le grand format ne pardonne pas : fleurs, casse, joints qui s'ouvrent. Ragréage autonivelant fibré quasi systématique avant pose.";"Format intermédiaire 45×45 ou 30×60, ou ragréage P3 fibré 5-10 mm puis pose à la colle C2S1 double encollage.";"carrelage XXL, grand format, planéité, ragréage, double encollage";"DTU 52.2"
"Parquet en point de Hongrie en rénovation ?";"sols";"conditional";"Pose plus exigeante : tolérance de coupe ≤0,3 mm, support parfaitement plan, lames courtes (45-60 cm) en chêne massif ou contrecollé. Compter 30-40 % de surcoût pose vs droit.";"Pose à l'anglaise pour rendu plus simple et coût réduit, ou parquet contrecollé point de Hongrie en clipsable (rendu moins bluffant).";"point de Hongrie, parquet, pose, support plan, contrecollé";"DTU 51.1"
"Liège au sol dans un séjour ?";"sols";"compatible";"Excellent compromis : isolation phonique (18-20 dB), thermique, recyclable, doux au pied. Vitrification 2 couches polyuréthane obligatoire pour résistance taches et abrasion.";"";"liège, séjour, vitrification, phonique, isolation";""
"Résine époxy au sol dans un garage ?";"sols";"compatible";"Excellent revêtement garage : antitaches huile, antidérapant si finition grenue, durée 15-25 ans. Application sur dalle béton sèche (humidité <3 %), primaire d'accrochage obligatoire.";"";"résine époxy, garage, dalle béton, antitaches, primaire";""
"Moquette dans une chambre humide (orientée nord) ?";"sols";"discouraged";"Hygrométrie ambiante >65 % en hiver = développement acariens et moisissures dans les fibres. Inadaptée si la pièce condense sur les murs.";"Traiter d'abord l'humidité (VMC, isolation), puis poser un sol PVC LVT ou un parquet contrecollé vitrifié.";"moquette, chambre humide, condensation, acariens, VMC";""
"Plinthes carrelées vs plinthes bois sur parquet ?";"sols";"conditional";"Plinthes carrelées sur parquet créent un point de rigidité incompatible avec les mouvements du bois (tuilage, jeu). Sur parquet flottant : interdit (le sol doit pouvoir se dilater).";"Plinthes bois assorties (laquées, peintes, cérusées), quart-de-rond clipsé, plinthes MDF hydrofuges peintes.";"plinthes carrelées, plinthes bois, parquet, dilatation, flottant";"DTU 51.2"
"Transition entre 2 pièces de hauteur de sol différente (>3 cm) ?";"sols";"conditional";"Différence >2 cm = risque de chute (norme accessibilité PMR). Profilé de transition rampe (Schlüter Reno-Ramp) ou nez-de-marche bois pour absorber le saut.";"Décaisser pour aligner les niveaux, ou créer une marche assumée avec contremarche peinte/carrelée.";"transition, niveau, plinthe, accessibilité, nez de marche";""
"Isolation thermique sous parquet en rénovation ?";"sols";"conditional";"Faisable avec sous-couche isolante 5-10 mm (R thermique ~0,1-0,2 m².K/W). Au-delà, mousse polyuréthane projetée ou panneaux liège 20-40 mm sous chape, mais perte de HSP.";"Isolation par-dessous (plafond cave/garage), pose d'un parquet sur lambourdes avec isolant entre lambourdes.";"isolation, parquet, sous-couche, R thermique, lambourdes";"DTU 51.2"
"Carrelage extérieur prolongé en intérieur (continuité) ?";"sols";"conditional";"Possible avec joint de dilatation périphérique au seuil + même format/teinte intérieur/extérieur en R11 antidérapant. Attention pont thermique : prévoir rupture de chape au seuil.";"Carrelage extérieur classique côté terrasse + revêtement intérieur différent, avec seuil aluminium discret.";"carrelage continuité, intérieur extérieur, R11, joint dilatation, pont thermique";"DTU 52.2"
"Sol stratifié dans une entrée à fort passage ?";"sols";"conditional";"Stratifié AC4-AC5 minimum (32-33), sinon usure rapide en 2-3 ans. Tapis d'entrée obligatoire pour piéger gravier (rayures profondes irrécupérables).";"Carrelage grès cérame R10, vinyle LVT classe 33-34, parquet contrecollé vitrifié à finition dure.";"stratifié, entrée, AC4, AC5, fort passage, classement";"DTU 51.11"
"Papier peint dans cuisine près de la plaque de cuisson ?";"murs";"forbidden";"Distance <60 cm de la zone de cuisson : projections grasses, vapeur, chaleur → décollement et jaunissement rapides. Risque incendie si papier non classé M1.";"Crédence carrelée, panneau verre trempé, inox, ou plaque résine alimentaire ; papier peint vinyle lessivable au-delà de 60 cm.";"papier peint, cuisine, plaque cuisson, crédence, M1";""
"Peinture mate sur plâtre ancien fissuré ?";"murs";"discouraged";"La peinture mate accentue les défauts en lumière rasante. Sur plâtre ancien fissuré : fissures visibles dès la 2e couche. Rebouchage + ponçage + sous-couche d'impression obligatoires.";"Peinture velours ou satinée plus indulgente, toile de verre maillage fin pour masquer fissures, enduit de lissage 2 mm + peinture mate.";"peinture mate, plâtre ancien, fissures, lumière rasante, toile de verre";""
"Enduit chaux sur béton cellulaire ?";"murs";"compatible";"Excellente compatibilité : la chaux respire comme le béton cellulaire (perspirance proche). Application avec primaire d'accrochage minéral. Évite les pathologies de l'enduit ciment classique.";"";"enduit chaux, béton cellulaire, perspirance, primaire minéral";"DTU 26.1"
"Peinture acrylique directement sur enduit pré-coloré (monocouche) ?";"murs";"discouraged";"L'enduit pré-coloré n'est pas conçu pour recevoir de peinture : adhérence aléatoire, écaillage en 2-5 ans. Si nécessaire : primaire d'accrochage spécifique support minéral fermé.";"Garder le pré-coloré (longévité 15-20 ans), ou décaper/repiquer avant peinture.";"enduit monocouche, pré-coloré, peinture acrylique, accrochage";""
"Béton ciré mural en SDB ?";"murs";"conditional";"Possible avec étanchéité SPEC sous le béton ciré en zones 1 et 2 + hydrofuge alimentaire en finition + 2-3 couches de bouche-pores. Microfissures possibles dans le temps en zone humide.";"Tadelakt (chaux compactée, naturellement étanche), grand carrelage effet béton, panneaux résine.";"béton ciré, mural, SDB, SPEC, hydrofuge, microfissures";""
